date,BAC,BK,C,FHN,FITB,HBAN,JPM,KEY,MTB,NTRS,PBCT,PNC,RF,ZION,STI,TFC,USB,WFC,SPY
2001-10-17,-0.010570103,-0.00942851,0.010197466,-0.021094482,-0.022396205,-0.002622948,0.019446078,-0.001411797,-0.013138708,0,-0.025552225,-0.008947745,-0.016375546,-0.00848587,-0.013457345,-0.017808637,0.028160907,-0.033341632,-0.021274628
2001-10-18,-0.001751287,-0.022209395,-0.001288673,-0.006870706,0.014155376,0.003944801,-0.013294772,-0.008011314,-0.005177492,0.000785256,0.007555547,-0.042614673,-0.012578603,-0.043918935,-0.021556123,-0.011063325,-0.007825567,0.005662837,-0.002136585
2001-10-19,0.000526294,-0.00943954,-0.013978495,0.010062899,0.004774992,0.006548751,-0.007908625,-0.007125873,0.006691404,-0.015300094,-0.015880017,-0.007544352,0.008242815,0.031802084,0.012908778,0.0003107,-0.027605621,-0.001791648,-0.000651645
2001-10-22,0.02419781,0.049731934,0.025299904,0.018368627,0.033814702,0.025374128,0.042515574,0.020095698,0,0.023705152,0.005827042,0.035727881,0.017093962,0.024657576,0.010705201,0.010562292,0.006952429,0.018717937,0.019748512
2001-10-23,0.008560178,-0.005673728,0.00489255,0.022317327,-0.006541774,-0.001269065,0.012744178,0.000469054,0.010339802,-0.001751316,-0.014705906,0.017431207,0.003288306,0.015819944,0.004034998,-0.002459207,0.017261286,0.006795884,-0.005115534
2001-10-24,0.017654064,0.015406601,-0.00635055,0.008373233,0.000711887,0.013341807,0.012863616,0.023909997,0.001023387,0.001754389,0.009045646,0.011722231,0.006554972,0.014476856,0.024112502,0.013867512,0.02941179,0.007499981,-0.002662757
2001-10-25,0.014011679,0.0134869,0.024712412,0.012752052,0.010848313,0.013166147,0.034787363,0.008241772,-0.001022341,0.018486102,-0.001792851,0.03226384,0.013024653,0.029405419,0.007194222,0.010638251,0.037362548,0.027295343,0.017952466
2001-10-26,-0.002303,-0.002495105,0.009979185,0.010541771,0.016889498,0.000618826,0.001867655,0.025431401,0.001169617,0.00152843,-0.009878844,-0.002762905,0.00499994,0.017643355,0.008928621,0.006917279,-0.019067729,-0.00724645,-0.002261011
2001-10-29,-0.018961278,-0.032796056,-0.04487441,-0.004636369,-0.021107222,-0.034013617,-0.049001337,-0.031443715,-0.030373857,-0.020412051,-0.012698344,-0.023549794,-0.018834401,-0.002683201,-0.032984763,-0.020908028,-0.038876955,-0.026763954,-0.026015253
2001-10-30,-0.008403361,-0.00833336,-0.018318966,0.000873318,0.003711543,-0.002560817,-0.005600694,-0.016003675,-0.007831389,-0.018695212,-0.012402465,-0.006029441,-0.014849648,-0.004553005,-0.001663868,-0.009456912,-0.002808946,-0.003750038,-0.012005522
